,Scoring Average_AVG,Scoring Average_TOTAL ROUNDS,Scoring Average_TOTAL STROKES,Greens in Regulation Percentage_%,Driving Distance_AVG.,Club Head Speed_AVG.,Ball Speed_AVG.,Spin Rate_AVG.,Carry Distance_AVG.,SG: Off-the-Tee_TOTAL SG:OTT,SG: Around-the-Green_TOTAL SG:ARG,SG: Approach the Green_TOTAL SG:APP,SG: Putting_AVERAGE,SG: Putting_TOTAL SG:PUTTING,SG: Tee-to-Green_AVERAGE,SG: Tee-to-Green_SG:OTT,SG: Tee-to-Green_SG:APR,SG: Tee-to-Green_SG:ARG,Rough Tendency_%,Sand Save Percentage_%,Hit Fairway Percentage_%,Fairway Bunker Tendency_%,Bogey Average_AVERAGE BOGEYS PER ROUND,Birdie Average_AVG,Going for the Green_%,Year,Win,Scrambling_%,Putting Average_AVG
0,69.9814705882353,3.9411764705882355,274.88235294117646,66.96705882352941,295.9529411764706,118.98266666666667,176.02066666666667,3034.6071428571427,280.9266666666666,0.7210624999999999,1.7171875,0.7958749999999999,0.352125,1.4170625000000001,0.8785625,0.1739375,0.24556250000000002,0.45925,33.8775,56.48058823529412,57.578125,5.89375,2.4705882352941178,4.294117647058823,66.62733333333333,2011.0,1.0,60.955882352941174,1.7266470588235294
1,69.4764,4.0,280.4,71.112,297.56,117.36333333333334,173.58666666666667,2482.233333333333,285.1666666666667,2.36225,0.08024999999999999,2.53825,-0.31425000000000003,-1.256,1.24525,0.5905,0.6345000000000001,0.02000000000000001,25.2675,60.572,67.565,3.575,2.6,3.3,58.1175,2011.0,0.0,57.664,1.8321999999999998
2,69.41007692307693,3.923076923076923,272.9230769230769,68.98076923076923,300.4769230769231,117.266,173.629,2961.13,284.1,3.2527,-0.3017,1.3389,0.12430000000000001,0.4968,1.0488,0.8115,0.3424,-0.1051,24.803,57.73615384615385,66.878,4.95,2.352307692307692,3.936153846153846,66.22333333333333,2011.0,1.0,60.01615384615385,1.7533076923076922
3,69.992,4.0,278.0,,,,,,,,,,,,,,,,,,,,1.5,3.75,,2011.0,0.0,,
4,74.085,4.0,295.0,62.5,329.9,,,,,0.515,-2.808,-5.268,-0.194,-0.776,-1.89,0.129,-1.317,-0.702,22.64,33.33,75.47,1.9,3.5,3.25,83.33,2011.0,0.0,48.15,1.778
5,70.7539,4.1,290.0,66.5,278.62,107.2911111111111,159.00444444444443,2413.088888888889,264.0,-0.8773333333333333,2.7325555555555554,1.0697777777777777,-0.5403333333333333,-1.7105555555555556,0.943111111111111,-0.17966666666666667,0.3336666666666666,0.788888888888889,25.08888888888889,56.388,66.95444444444445,5.2555555555555555,2.315,3.475,41.76222222222222,2011.0,0.0,60.838,1.778
6,70.03533333333333,4.0,285.3333333333333,64.81333333333333,300.73333333333335,119.3,177.02,2821.0,305.8,-4.078,1.577,-5.442,1.16,4.64,-1.986,-1.02,-1.361,0.394,47.17,43.376666666666665,47.17,5.7,3.0,2.5833333333333335,37.5,2011.0,0.0,51.89333333333334,1.8376666666666666
7,70.67272727272727,4.0,282.45454545454544,69.583,306.57,116.00777777777778,171.2611111111111,2645.8333333333335,280.43333333333334,2.1328,-1.3973,0.7015,-0.10030000000000001,-0.5356,0.37959999999999994,0.5862,0.13580000000000006,-0.34219999999999995,29.988999999999997,32.730000000000004,61.786,6.05,2.590909090909091,3.6363636363636362,54.40599999999999,2011.0,0.0,51.150999999999996,1.7863
8,70.5798,4.0,282.9,68.92375,289.2125,111.64333333333333,165.56166666666664,2637.2166666666667,266.8833333333333,-0.277,-0.04485714285714283,1.7007142857142856,0.11685714285714287,0.47585714285714287,0.39499999999999996,-0.03000000000000001,0.41571428571428576,0.009571428571428564,24.914285714285715,36.5175,65.73142857142857,7.328571428571428,2.525,3.15,54.862857142857145,2011.0,0.0,59.21625,1.832125
9,71.5482,4.0,287.4,66.388,311.23999999999995,120.91666666666667,178.82666666666668,3164.633333333333,299.90000000000003,1.7566666666666666,-1.4213333333333333,0.5213333333333332,-0.6043333333333333,-2.4166666666666665,0.21433333333333326,0.43933333333333335,0.13033333333333333,-0.35566666666666663,35.156666666666666,37.166,54.54,7.1000000000000005,3.1,3.3,75.22,2011.0,0.0,48.245999999999995,1.8058
10,68.299,4.0,278.25,67.7075,293.625,110.64500000000001,163.62,2539.65,278.2,1.5285,1.229,1.0230000000000001,0.6305000000000001,2.522,0.9455,0.382,0.256,0.3075,30.669999999999998,47.7675,63.93,4.55,2.4375,3.5,38.815,2011.0,0.0,66.775,1.813
11,71.5655,4.0,282.5,63.89,297.35,111.65,165.1,2357.65,271.3,-2.1615,1.8565,-2.877,0.22949999999999998,0.9185,-0.7955000000000001,-0.5405,-0.7195,0.46449999999999997,32.155,65.715,59.629999999999995,8.2,2.0,3.0,37.5,2011.0,0.0,71.43,1.793
12,70.7825,4.0,279.875,73.38,294.03333333333336,113.29166666666667,168.23999999999998,2570.1833333333334,274.21666666666664,-0.014000000000000087,0.7038333333333333,0.6036666666666667,0.08166666666666667,0.23433333333333328,0.38199999999999995,0.02316666666666667,0.16133333333333336,0.19766666666666666,26.403333333333336,62.30166666666667,68.11166666666666,4.3,2.3125,3.65625,59.721666666666664,2011.0,0.0,58.46333333333333,1.797
